Unnamed: 0,Economy_Label,CommercialMarket_Label,Average_age_of_vessels_years_Value,Average_age_of_vessels_years_MissingValue,Median_time_in_port_days_Value,Median_time_in_port_days_MissingValue,Average_size_GT_of_vessels_Value,Average_size_GT_of_vessels_MissingValue,Average_cargo_carrying_capacity_dwt_per_vessel_Value,Average_cargo_carrying_capacity_dwt_per_vessel_MissingValue,Average_container_carrying_capacity_TEU_per_container_ship_Value,Average_container_carrying_capacity_TEU_per_container_ship_MissingValue,Maximum_size_GT_of_vessels_Value,Maximum_size_GT_of_vessels_MissingValue,Maximum_cargo_carrying_capacity_dwt_of_vessels_Value,Maximum_cargo_carrying_capacity_dwt_of_vessels_MissingValue,Maximum_container_carrying_capacity_TEU_of_container_ships_Value,Maximum_container_carrying_capacity_TEU_of_container_ships_MissingValue,period
516,Netherlands (Kingdom of the),Liquefied petroleum gas carriers,16,,0.99,,6825,,7547.0,,,Not available or not separately reported,52506,,59504.0,,,Not available or not separately reported,2023-S1
517,Netherlands (Kingdom of the),Liquefied natural gas carriers,7,,1.05,,81509,,63617.0,,,Not available or not separately reported,163922,,130211.0,,,Not available or not separately reported,2023-S1
518,Netherlands (Kingdom of the),Dry bulk carriers,13,,0.86,,37283,,66892.0,,,Not available or not separately reported,173756,,324954.0,,,Not available or not separately reported,2023-S1
519,Netherlands (Kingdom of the),Dry breakbulk carriers,25,,0.37,,3740,,5520.0,,,Not available or not separately reported,91784,,116173.0,,,Not available or not separately reported,2023-S1
520,Netherlands (Kingdom of the),Roll-on/ roll-off ships,24,,,Not available or not separately reported,18687,,7157.0,,,Not available or not separately reported,76420,,34960.0,,,Not available or not separately reported,2023-S1
521,Netherlands (Kingdom of the),Container ships,17,,0.8,,32804,,,Not available or not separately reported,3066.0,,237000,,,Not available or not separately reported,24116.0,,2023-S1
522,Netherlands (Kingdom of the),Passenger ships,17,,,Not available or not separately reported,14771,,,Not available or not separately reported,,Not available or not separately reported,184089,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
523,Norway,All ships,14,,0.42,,3795,,7585.0,,777.0,,184089,,319319.0,,1875.0,,2023-S1
524,Norway,Liquid bulk carriers,17,,0.64,,12057,,19635.0,,,Not available or not separately reported,164580,,319319.0,,,Not available or not separately reported,2023-S1
525,Norway,Liquefied petroleum gas carriers,12,,0.82,,7324,,7895.0,,,Not available or not separately reported,26614,,30212.0,,,Not available or not separately reported,2023-S1
526,Norway,Liquefied natural gas carriers,16,,0.73,,23696,,17491.0,,,Not available or not separately reported,121597,,92266.0,,,Not available or not separately reported,2023-S1
527,Norway,Dry bulk carriers,15,,0.85,,18180,,30264.0,,,Not available or not separately reported,107567,,208263.0,,,Not available or not separately reported,2023-S1
528,Norway,Dry breakbulk carriers,25,,0.34,,2911,,3470.0,,,Not available or not separately reported,84503,,98370.0,,,Not available or not separately reported,2023-S1
529,Norway,Roll-on/ roll-off ships,19,,,Not available or not separately reported,10875,,6597.0,,,Not available or not separately reported,72408,,27295.0,,,Not available or not separately reported,2023-S1
530,Norway,Container ships,19,,0.29,,8451,,,Not available or not separately reported,777.0,,17982,,,Not available or not separately reported,1875.0,,2023-S1
531,Norway,Passenger ships,14,,,Not available or not separately reported,3660,,,Not available or not separately reported,,Not available or not separately reported,184089,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
532,Philippines,All ships,18,,0.78,,6974,,10273.0,,1729.0,,151094,,297461.0,,6570.0,,2023-S1
533,Philippines,Liquid bulk carriers,13,,0.85,,6575,,10466.0,,,Not available or not separately reported,65696,,115024.0,,,Not available or not separately reported,2023-S1
534,Philippines,Liquefied petroleum gas carriers,17,,0.7,,7506,,8527.0,,,Not available or not separately reported,50226,,58591.0,,,Not available or not separately reported,2023-S1
535,Philippines,Dry bulk carriers,15,,4.53,,27437,,48310.0,,,Not available or not separately reported,151094,,297461.0,,,Not available or not separately reported,2023-S1
536,Philippines,Dry breakbulk carriers,17,,0.63,,3433,,4586.0,,,Not available or not separately reported,66870,,71691.0,,,Not available or not separately reported,2023-S1
537,Philippines,Roll-on/ roll-off ships,27,,,Not available or not separately reported,21251,,8996.0,,,Not available or not separately reported,76299,,32956.0,,,Not available or not separately reported,2023-S1
538,Philippines,Container ships,17,,0.81,,18532,,,Not available or not separately reported,1729.0,,72884,,,Not available or not separately reported,6570.0,,2023-S1
539,Philippines,Passenger ships,20,,,Not available or not separately reported,3759,,,Not available or not separately reported,,Not available or not separately reported,92627,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
540,Russian Federation,All ships,25,,1.61,,12709,,20133.0,,1262.0,,128975,,185897.0,,4800.0,,2023-S1
541,Russian Federation,Liquid bulk carriers,23,,1.22,,17459,,30325.0,,,Not available or not separately reported,87146,,166467.0,,,Not available or not separately reported,2023-S1
542,Russian Federation,Liquefied petroleum gas carriers,21,,1.9,,11452,,13846.0,,,Not available or not separately reported,26513,,29421.0,,,Not available or not separately reported,2023-S1
543,Russian Federation,Liquefied natural gas carriers,12,,1.12,,104818,,75788.0,,,Not available or not separately reported,128975,,97000.0,,,Not available or not separately reported,2023-S1
544,Russian Federation,Dry bulk carriers,17,,2.78,,28460,,50193.0,,,Not available or not separately reported,94710,,185897.0,,,Not available or not separately reported,2023-S1
545,Russian Federation,Dry breakbulk carriers,29,,1.94,,4674,,6254.0,,,Not available or not separately reported,48191,,72562.0,,,Not available or not separately reported,2023-S1
546,Russian Federation,Roll-on/ roll-off ships,31,,,Not available or not separately reported,9829,,5525.0,,,Not available or not separately reported,20729,,14107.0,,,Not available or not separately reported,2023-S1
547,Russian Federation,Container ships,19,,1.52,,13333,,,Not available or not separately reported,1262.0,,54519,,,Not available or not separately reported,4800.0,,2023-S1
548,Russian Federation,Passenger ships,25,,,Not available or not separately reported,6192,,,Not available or not separately reported,,Not available or not separately reported,38557,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
549,Singapore,All ships,13,,0.74,,26250,,17587.0,,5306.0,,237000,,321225.0,,24116.0,,2023-S1
550,Singapore,Liquid bulk carriers,12,,0.65,,10574,,17585.0,,,Not available or not separately reported,170611,,321225.0,,,Not available or not separately reported,2023-S1
551,Singapore,Liquefied petroleum gas carriers,13,,1.13,,8601,,9834.0,,,Not available or not separately reported,49394,,58677.0,,,Not available or not separately reported,2023-S1
552,Singapore,Liquefied natural gas carriers,12,,1.72,,103420,,81644.0,,,Not available or not separately reported,136894,,97730.0,,,Not available or not separately reported,2023-S1
553,Singapore,Dry bulk carriers,10,,0.61,,17066,,28046.0,,,Not available or not separately reported,111454,,210000.0,,,Not available or not separately reported,2023-S1
554,Singapore,Dry breakbulk carriers,15,,0.72,,7716,,10316.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S1
555,Singapore,Roll-on/ roll-off ships,17,,,Not available or not separately reported,53933,,17868.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2023-S1
556,Singapore,Container ships,15,,0.85,,56635,,,Not available or not separately reported,5306.0,,237000,,,Not available or not separately reported,24116.0,,2023-S1
557,Singapore,Passenger ships,12,,,Not available or not separately reported,107442,,,Not available or not separately reported,,Not available or not separately reported,171598,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
558,Spain,All ships,18,,0.86,,17577,,16489.0,,3202.0,,237000,,318744.0,,24100.0,,2023-S1
559,Spain,Liquid bulk carriers,13,,0.86,,11394,,18662.0,,,Not available or not separately reported,160457,,318744.0,,,Not available or not separately reported,2023-S1
560,Spain,Liquefied petroleum gas carriers,14,,1.07,,7400,,8376.0,,,Not available or not separately reported,49231,,55408.0,,,Not available or not separately reported,2023-S1
561,Spain,Liquefied natural gas carriers,11,,1.06,,94694,,73316.0,,,Not available or not separately reported,135977,,99025.0,,,Not available or not separately reported,2023-S1
562,Spain,Dry bulk carriers,16,,1.96,,25753,,44588.0,,,Not available or not separately reported,107553,,207520.0,,,Not available or not separately reported,2023-S1
563,Spain,Dry breakbulk carriers,17,,1.25,,5233,,7341.0,,,Not available or not separately reported,49091,,73296.0,,,Not available or not separately reported,2023-S1
564,Spain,Roll-on/ roll-off ships,13,,,Not available or not separately reported,26295,,9092.0,,,Not available or not separately reported,89797,,47528.0,,,Not available or not separately reported,2023-S1
565,Spain,Container ships,17,,0.61,,34622,,,Not available or not separately reported,3202.0,,237000,,,Not available or not separately reported,24100.0,,2023-S1
566,Spain,Passenger ships,20,,,Not available or not separately reported,15664,,,Not available or not separately reported,,Not available or not separately reported,228081,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
567,Sweden,All ships,23,,0.85,,17399,,9088.0,,1660.0,,214286,,319319.0,,19630.0,,2023-S1
568,Sweden,Liquid bulk carriers,15,,0.68,,8645,,12957.0,,,Not available or not separately reported,164580,,319319.0,,,Not available or not separately reported,2023-S1
569,Sweden,Liquefied petroleum gas carriers,14,,0.91,,9081,,10049.0,,,Not available or not separately reported,48060,,55250.0,,,Not available or not separately reported,2023-S1
570,Sweden,Dry bulk carriers,21,,0.55,,6793,,10631.0,,,Not available or not separately reported,44397,,81878.0,,,Not available or not separately reported,2023-S1
571,Sweden,Dry breakbulk carriers,21,,1.13,,3819,,5454.0,,,Not available or not separately reported,38910,,55596.0,,,Not available or not separately reported,2023-S1
572,Sweden,Roll-on/ roll-off ships,18,,,Not available or not separately reported,31402,,12684.0,,,Not available or not separately reported,76420,,31143.0,,,Not available or not separately reported,2023-S1
573,Sweden,Container ships,19,,0.68,,17948,,,Not available or not separately reported,1660.0,,214286,,,Not available or not separately reported,19630.0,,2023-S1
574,Sweden,Passenger ships,26,,,Not available or not separately reported,21456,,,Not available or not separately reported,,Not available or not separately reported,143730,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
575,Turkiye,All ships,24,,1.32,,6012,,17405.0,,2805.0,,194308,,319471.0,,19462.0,,2023-S1
576,Turkiye,Liquid bulk carriers,16,,1.33,,18155,,30728.0,,,Not available or not separately reported,169919,,319471.0,,,Not available or not separately reported,2023-S1
577,Turkiye,Liquefied petroleum gas carriers,19,,1.34,,16472,,19332.0,,,Not available or not separately reported,52506,,59504.0,,,Not available or not separately reported,2023-S1
578,Turkiye,Liquefied natural gas carriers,9,,1.2,,110840,,89069.0,,,Not available or not separately reported,130200,,107662.0,,,Not available or not separately reported,2023-S1
579,Turkiye,Dry bulk carriers,18,,3.92,,24272,,41786.0,,,Not available or not separately reported,101933,,203095.0,,,Not available or not separately reported,2023-S1
580,Turkiye,Dry breakbulk carriers,28,,1.55,,4449,,6234.0,,,Not available or not separately reported,66870,,71954.0,,,Not available or not separately reported,2023-S1
581,Turkiye,Roll-on/ roll-off ships,26,,,Not available or not separately reported,25168,,9861.0,,,Not available or not separately reported,76299,,45200.0,,,Not available or not separately reported,2023-S1
582,Turkiye,Container ships,19,,0.66,,30395,,,Not available or not separately reported,2805.0,,194308,,,Not available or not separately reported,19462.0,,2023-S1
583,Turkiye,Passenger ships,24,,,Not available or not separately reported,1817,,,Not available or not separately reported,,Not available or not separately reported,167704,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
584,United Kingdom,All ships,19,,1.1,,14244,,12985.0,,3387.0,,236673,,320106.0,,24116.0,,2023-S1
585,United Kingdom,Liquid bulk carriers,15,,1.07,,13416,,22297.0,,,Not available or not separately reported,167168,,320106.0,,,Not available or not separately reported,2023-S1
586,United Kingdom,Liquefied petroleum gas carriers,12,,1.05,,6810,,7338.0,,,Not available or not separately reported,56081,,60138.0,,,Not available or not separately reported,2023-S1
587,United Kingdom,Liquefied natural gas carriers,8,,1.17,,96647,,77211.0,,,Not available or not separately reported,168189,,154900.0,,,Not available or not separately reported,2023-S1
588,United Kingdom,Dry bulk carriers,16,,2.61,,24277,,41348.0,,,Not available or not separately reported,94879,,182983.0,,,Not available or not separately reported,2023-S1
589,United Kingdom,Dry breakbulk carriers,20,,1.51,,3530,,4933.0,,,Not available or not separately reported,43788,,62823.0,,,Not available or not separately reported,2023-S1
590,United Kingdom,Roll-on/ roll-off ships,16,,,Not available or not separately reported,23944,,9769.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S1
591,United Kingdom,Container ships,17,,0.67,,36688,,,Not available or not separately reported,3387.0,,236673,,,Not available or not separately reported,24116.0,,2023-S1
592,United Kingdom,Passenger ships,20,,,Not available or not separately reported,12741,,,Not available or not separately reported,,Not available or not separately reported,185206,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
593,United States of America,All ships,27,,1.57,,18441,,50006.0,,5580.0,,235600,,323183.0,,19224.0,,2023-S1
594,United States of America,Liquid bulk carriers,12,,1.69,,37311,,64920.0,,,Not available or not separately reported,170611,,323183.0,,,Not available or not separately reported,2023-S1
595,United States of America,Liquefied petroleum gas carriers,9,,1.81,,31346,,35392.0,,,Not available or not separately reported,60784,,63770.0,,,Not available or not separately reported,2023-S1
596,United States of America,Liquefied natural gas carriers,6,,1.38,,106989,,85401.0,,,Not available or not separately reported,149367,,121963.0,,,Not available or not separately reported,2023-S1
597,United States of America,Dry bulk carriers,16,,2.56,,30285,,53767.0,,,Not available or not separately reported,108901,,209854.0,,,Not available or not separately reported,2023-S1
598,United States of America,Dry breakbulk carriers,20,,1.98,,12977,,17390.0,,,Not available or not separately reported,66681,,88666.0,,,Not available or not separately reported,2023-S1
599,United States of America,Roll-on/ roll-off ships,15,,,Not available or not separately reported,58760,,21536.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S1
600,United States of America,Container ships,16,,1.1,,62371,,,Not available or not separately reported,5580.0,,194308,,,Not available or not separately reported,19224.0,,2023-S1
601,United States of America,Passenger ships,32,,,Not available or not separately reported,9291,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2023-S1
602,World,All ships,18,,0.99,,14520,,25699.0,,3618.0,,237000,,404389.0,,24116.0,,2023-S2
603,World,Liquid bulk carriers,15,,0.98,,16126,,28404.0,,,Not available or not separately reported,170611,,323514.0,,,Not available or not separately reported,2023-S2
604,World,Liquefied petroleum gas carriers,15,,1.04,,11064,,12366.0,,,Not available or not separately reported,60784,,64220.0,,,Not available or not separately reported,2023-S2
605,World,Liquefied natural gas carriers,12,,1.12,,92842,,72404.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2023-S2
606,World,Dry bulk carriers,15,,2.08,,32566,,58288.0,,,Not available or not separately reported,204014,,404389.0,,,Not available or not separately reported,2023-S2
607,World,Dry breakbulk carriers,21,,1.07,,5641,,7840.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S2
608,World,Roll-on/ roll-off ships,18,,,Not available or not separately reported,26239,,10420.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S2
609,World,Container ships,14,,0.71,,39295,,,Not available or not separately reported,3618.0,,237000,,,Not available or not separately reported,24116.0,,2023-S2
610,World,Passenger ships,20,,,Not available or not separately reported,8469,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
611,Australia,All ships,17,,1.55,,35245,,81728.0,,4258.0,,168666,,297902.0,,9661.0,,2023-S2
612,Australia,Liquid bulk carriers,9,,1.32,,25185,,42685.0,,,Not available or not separately reported,85496,,162342.0,,,Not available or not separately reported,2023-S2
613,Australia,Liquefied petroleum gas carriers,9,,0.82,,12469,,13283.0,,,Not available or not separately reported,53573,,58811.0,,,Not available or not separately reported,2023-S2
614,Australia,Liquefied natural gas carriers,11,,1.18,,112196,,85609.0,,,Not available or not separately reported,149367,,97902.0,,,Not available or not separately reported,2023-S2
615,Australia,Dry bulk carriers,11,,1.66,,60100,,112354.0,,,Not available or not separately reported,152311,,297902.0,,,Not available or not separately reported,2023-S2
616,Australia,Dry breakbulk carriers,12,,1.83,,16470,,24510.0,,,Not available or not separately reported,66870,,80500.0,,,Not available or not separately reported,2023-S2
617,Australia,Roll-on/ roll-off ships,11,,,Not available or not separately reported,39723,,14584.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2023-S2
618,Australia,Container ships,15,,1.52,,46323,,,Not available or not separately reported,4258.0,,111249,,,Not available or not separately reported,9661.0,,2023-S2
619,Australia,Passenger ships,27,,,Not available or not separately reported,8115,,,Not available or not separately reported,,Not available or not separately reported,168666,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
620,Canada,All ships,25,,0.47,,11924,,33755.0,,5561.0,,176546,,301850.0,,16000.0,,2023-S2
621,Canada,Liquid bulk carriers,13,,1.04,,21960,,36311.0,,,Not available or not separately reported,157208,,301850.0,,,Not available or not separately reported,2023-S2
622,Canada,Liquefied petroleum gas carriers,9,,1.69,,44213,,50616.0,,,Not available or not separately reported,50174,,58811.0,,,Not available or not separately reported,2023-S2
623,Canada,Dry bulk carriers,23,,0.18,,27232,,46554.0,,,Not available or not separately reported,109982,,210911.0,,,Not available or not separately reported,2023-S2
624,Canada,Dry breakbulk carriers,10,,0.15,,9281,,11283.0,,,Not available or not separately reported,49091,,81279.0,,,Not available or not separately reported,2023-S2
625,Canada,Roll-on/ roll-off ships,14,,,Not available or not separately reported,14481,,6973.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S2
626,Canada,Container ships,15,,1.44,,60548,,,Not available or not separately reported,5561.0,,176546,,,Not available or not separately reported,16000.0,,2023-S2
627,Canada,Passenger ships,28,,,Not available or not separately reported,8101,,,Not available or not separately reported,,Not available or not separately reported,171598,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
628,China,All ships,13,,1.05,,34200,,47122.0,,4648.0,,237000,,404389.0,,24116.0,,2023-S2
629,China,Liquid bulk carriers,13,,1.1,,22063,,38888.0,,,Not available or not separately reported,170611,,323514.0,,,Not available or not separately reported,2023-S2
630,China,Liquefied petroleum gas carriers,14,,1.02,,10279,,11169.0,,,Not available or not separately reported,60784,,64220.0,,,Not available or not separately reported,2023-S2
631,China,Liquefied natural gas carriers,10,,1.15,,96971,,77149.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2023-S2
632,China,Dry bulk carriers,14,,2.01,,43046,,78633.0,,,Not available or not separately reported,204014,,404389.0,,,Not available or not separately reported,2023-S2
633,China,Dry breakbulk carriers,17,,1.34,,11252,,15687.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S2
634,China,Roll-on/ roll-off ships,14,,,Not available or not separately reported,27192,,9680.0,,,Not available or not separately reported,89797,,47528.0,,,Not available or not separately reported,2023-S2
635,China,Container ships,12,,0.61,,49932,,,Not available or not separately reported,4648.0,,237000,,,Not available or not separately reported,24116.0,,2023-S2
636,China,Passenger ships,13,,,Not available or not separately reported,19573,,,Not available or not separately reported,,Not available or not separately reported,171598,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
637,Croatia,All ships,18,,1.33,,3938,,18764.0,,4279.0,,155873,,159638.0,,15500.0,,2023-S2
638,Croatia,Liquid bulk carriers,17,,1.04,,15139,,25854.0,,,Not available or not separately reported,84655,,159638.0,,,Not available or not separately reported,2023-S2
639,Croatia,Liquefied natural gas carriers,6,,2.56,,113180,,90587.0,,,Not available or not separately reported,120709,,95788.0,,,Not available or not separately reported,2023-S2
640,Croatia,Dry bulk carriers,23,,2.42,,15518,,26024.0,,,Not available or not separately reported,51255,,93320.0,,,Not available or not separately reported,2023-S2
641,Croatia,Dry breakbulk carriers,24,,2.9,,4574,,6396.0,,,Not available or not separately reported,66870,,71954.0,,,Not available or not separately reported,2023-S2
642,Croatia,Container ships,16,,0.72,,45907,,,Not available or not separately reported,4279.0,,153774,,,Not available or not separately reported,15500.0,,2023-S2
643,Croatia,Passenger ships,18,,,Not available or not separately reported,3609,,,Not available or not separately reported,,Not available or not separately reported,155873,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
644,Denmark,All ships,21,,0.71,,10114,,7158.0,,1943.0,,214286,,177723.0,,19630.0,,2023-S2
645,Denmark,Liquid bulk carriers,18,,0.66,,7423,,11759.0,,,Not available or not separately reported,93759,,159039.0,,,Not available or not separately reported,2023-S2
646,Denmark,Liquefied petroleum gas carriers,15,,1.4,,4248,,4872.0,,,Not available or not separately reported,13549,,15070.0,,,Not available or not separately reported,2023-S2
647,Denmark,Dry bulk carriers,12,,0.81,,9377,,15181.0,,,Not available or not separately reported,91739,,177723.0,,,Not available or not separately reported,2023-S2
648,Denmark,Dry breakbulk carriers,24,,0.75,,2951,,4131.0,,,Not available or not separately reported,39433,,61250.0,,,Not available or not separately reported,2023-S2
649,Denmark,Roll-on/ roll-off ships,18,,,Not available or not separately reported,23959,,12943.0,,,Not available or not separately reported,72708,,48988.0,,,Not available or not separately reported,2023-S2
650,Denmark,Container ships,16,,0.57,,21292,,,Not available or not separately reported,1943.0,,214286,,,Not available or not separately reported,19630.0,,2023-S2
651,Denmark,Passenger ships,21,,,Not available or not separately reported,10568,,,Not available or not separately reported,,Not available or not separately reported,183200,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
652,France,All ships,18,,1.13,,23565,,18927.0,,5530.0,,236583,,320916.0,,24116.0,,2023-S2
653,France,Liquid bulk carriers,13,,1.03,,13694,,23566.0,,,Not available or not separately reported,166639,,320916.0,,,Not available or not separately reported,2023-S2
654,France,Liquefied petroleum gas carriers,12,,1.17,,8869,,9848.0,,,Not available or not separately reported,53573,,58312.0,,,Not available or not separately reported,2023-S2
655,France,Liquefied natural gas carriers,9,,1.16,,104935,,82149.0,,,Not available or not separately reported,149367,,121957.0,,,Not available or not separately reported,2023-S2
656,France,Dry bulk carriers,15,,3.26,,24864,,43649.0,,,Not available or not separately reported,94973,,182983.0,,,Not available or not separately reported,2023-S2
657,France,Dry breakbulk carriers,19,,1.55,,4569,,6610.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S2
658,France,Roll-on/ roll-off ships,19,,,Not available or not separately reported,27645,,11527.0,,,Not available or not separately reported,76420,,45200.0,,,Not available or not separately reported,2023-S2
659,France,Container ships,15,,0.83,,61148,,,Not available or not separately reported,5530.0,,236583,,,Not available or not separately reported,24116.0,,2023-S2
660,France,Passenger ships,19,,,Not available or not separately reported,24568,,,Not available or not separately reported,,Not available or not separately reported,228081,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
661,Germany,All ships,21,,0.65,,13014,,9520.0,,4932.0,,237000,,321300.0,,24004.0,,2023-S2
662,Germany,Liquid bulk carriers,19,,0.44,,4657,,8494.0,,,Not available or not separately reported,170611,,321300.0,,,Not available or not separately reported,2023-S2
663,Germany,Liquefied petroleum gas carriers,16,,0.91,,5739,,6446.0,,,Not available or not separately reported,26614,,30212.0,,,Not available or not separately reported,2023-S2
664,Germany,Liquefied natural gas carriers,11,,1.44,,44154,,36164.0,,,Not available or not separately reported,122142,,98936.0,,,Not available or not separately reported,2023-S2
665,Germany,Dry bulk carriers,13,,2.44,,28107,,47772.0,,,Not available or not separately reported,109768,,209260.0,,,Not available or not separately reported,2023-S2
666,Germany,Dry breakbulk carriers,28,,0.59,,3558,,4956.0,,,Not available or not separately reported,149944,,175897.0,,,Not available or not separately reported,2023-S2
667,Germany,Roll-on/ roll-off ships,17,,,Not available or not separately reported,33374,,13523.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2023-S2
668,Germany,Container ships,15,,1.03,,53803,,,Not available or not separately reported,4932.0,,237000,,,Not available or not separately reported,24004.0,,2023-S2
669,Germany,Passenger ships,21,,,Not available or not separately reported,11863,,,Not available or not separately reported,,Not available or not separately reported,206285,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
670,Greece,All ships,24,,0.82,,8881,,7251.0,,4282.0,,237000,,299988.0,,24004.0,,2023-S2
671,Greece,Liquid bulk carriers,23,,0.6,,5004,,7796.0,,,Not available or not separately reported,156392,,299988.0,,,Not available or not separately reported,2023-S2
672,Greece,Liquefied petroleum gas carriers,26,,0.96,,5250,,6249.0,,,Not available or not separately reported,25004,,28702.0,,,Not available or not separately reported,2023-S2
673,Greece,Liquefied natural gas carriers,10,,1.37,,105757,,85272.0,,,Not available or not separately reported,118363,,94665.0,,,Not available or not separately reported,2023-S2
674,Greece,Dry bulk carriers,28,,0.62,,7113,,12039.0,,,Not available or not separately reported,94232,,179759.0,,,Not available or not separately reported,2023-S2
675,Greece,Dry breakbulk carriers,34,,1.19,,3001,,4186.0,,,Not available or not separately reported,40250,,64942.0,,,Not available or not separately reported,2023-S2
676,Greece,Roll-on/ roll-off ships,36,,,Not available or not separately reported,15574,,6428.0,,,Not available or not separately reported,76420,,44574.0,,,Not available or not separately reported,2023-S2
677,Greece,Container ships,16,,1.0,,45972,,,Not available or not separately reported,4282.0,,237000,,,Not available or not separately reported,24004.0,,2023-S2
678,Greece,Passenger ships,24,,,Not available or not separately reported,8428,,,Not available or not separately reported,,Not available or not separately reported,186364,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
679,Indonesia,All ships,20,,1.27,,7868,,16732.0,,1278.0,,161175,,319247.0,,9365.0,,2023-S2
680,Indonesia,Liquid bulk carriers,16,,1.34,,8536,,13391.0,,,Not available or not separately reported,161175,,319247.0,,,Not available or not separately reported,2023-S2
681,Indonesia,Liquefied petroleum gas carriers,21,,1.08,,8398,,9250.0,,,Not available or not separately reported,53573,,59479.0,,,Not available or not separately reported,2023-S2
682,Indonesia,Liquefied natural gas carriers,17,,1.42,,94351,,72714.0,,,Not available or not separately reported,127088,,98954.0,,,Not available or not separately reported,2023-S2
683,Indonesia,Dry bulk carriers,18,,2.58,,25426,,44761.0,,,Not available or not separately reported,109716,,211135.0,,,Not available or not separately reported,2023-S2
684,Indonesia,Dry breakbulk carriers,21,,1.14,,5134,,6941.0,,,Not available or not separately reported,57934,,72562.0,,,Not available or not separately reported,2023-S2
685,Indonesia,Roll-on/ roll-off ships,31,,,Not available or not separately reported,9757,,4680.0,,,Not available or not separately reported,71383,,32956.0,,,Not available or not separately reported,2023-S2
686,Indonesia,Container ships,16,,0.96,,14204,,,Not available or not separately reported,1278.0,,96704,,,Not available or not separately reported,9365.0,,2023-S2
687,Indonesia,Passenger ships,21,,,Not available or not separately reported,5011,,,Not available or not separately reported,,Not available or not separately reported,130818,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
688,Italy,All ships,28,,1.25,,11254,,20537.0,,3970.0,,236184,,319202.0,,24000.0,,2023-S2
689,Italy,Liquid bulk carriers,20,,1.23,,18259,,31333.0,,,Not available or not separately reported,160087,,319202.0,,,Not available or not separately reported,2023-S2
690,Italy,Liquefied petroleum gas carriers,15,,1.73,,8406,,9410.0,,,Not available or not separately reported,35346,,44639.0,,,Not available or not separately reported,2023-S2
691,Italy,Liquefied natural gas carriers,11,,2.02,,63244,,49404.0,,,Not available or not separately reported,116779,,96889.0,,,Not available or not separately reported,2023-S2
692,Italy,Dry bulk carriers,16,,3.13,,24171,,41791.0,,,Not available or not separately reported,94817,,181010.0,,,Not available or not separately reported,2023-S2
693,Italy,Dry breakbulk carriers,20,,2.0,,6532,,9171.0,,,Not available or not separately reported,66870,,71954.0,,,Not available or not separately reported,2023-S2
694,Italy,Roll-on/ roll-off ships,14,,,Not available or not separately reported,36456,,13587.0,,,Not available or not separately reported,85000,,45700.0,,,Not available or not separately reported,2023-S2
695,Italy,Container ships,17,,0.87,,44570,,,Not available or not separately reported,3970.0,,236184,,,Not available or not separately reported,24000.0,,2023-S2
696,Italy,Passenger ships,30,,,Not available or not separately reported,8559,,,Not available or not separately reported,,Not available or not separately reported,228081,,,Not available or not separately reported,,Not available or not separately reported,2023-S2
697,Japan,All ships,14,,0.41,,10519,,14925.0,,1649.0,,236500,,327017.0,,15500.0,,2023-S2
698,Japan,Liquid bulk carriers,12,,0.32,,8180,,13807.0,,,Not available or not separately reported,166639,,320299.0,,,Not available or not separately reported,2023-S2
