Unnamed: 0,Economy_Label,CommercialMarket_Label,Average_age_of_vessels_years_Value,Average_age_of_vessels_years_MissingValue,Median_time_in_port_days_Value,Median_time_in_port_days_MissingValue,Average_size_GT_of_vessels_Value,Average_size_GT_of_vessels_MissingValue,Average_cargo_carrying_capacity_dwt_per_vessel_Value,Average_cargo_carrying_capacity_dwt_per_vessel_MissingValue,Average_container_carrying_capacity_TEU_per_container_ship_Value,Average_container_carrying_capacity_TEU_per_container_ship_MissingValue,Maximum_size_GT_of_vessels_Value,Maximum_size_GT_of_vessels_MissingValue,Maximum_cargo_carrying_capacity_dwt_of_vessels_Value,Maximum_cargo_carrying_capacity_dwt_of_vessels_MissingValue,Maximum_container_carrying_capacity_TEU_of_container_ships_Value,Maximum_container_carrying_capacity_TEU_of_container_ships_MissingValue,period
244,Denmark,Liquid bulk carriers,17,,0.7,,7662,,12220.0,,,Not available or not separately reported,82870,,159540.0,,,Not available or not separately reported,2022-S2
245,Denmark,Liquefied petroleum gas carriers,12,,1.22,,3885,,4088.0,,,Not available or not separately reported,5440,,4999.0,,,Not available or not separately reported,2022-S2
246,Denmark,Dry bulk carriers,15,,0.81,,8945,,14717.0,,,Not available or not separately reported,91775,,177651.0,,,Not available or not separately reported,2022-S2
247,Denmark,Dry breakbulk carriers,23,,0.8,,3268,,4543.0,,,Not available or not separately reported,30351,,50640.0,,,Not available or not separately reported,2022-S2
248,Denmark,Roll-on/ roll-off ships,19,,,Not available or not separately reported,23744,,11230.0,,,Not available or not separately reported,72708,,48988.0,,,Not available or not separately reported,2022-S2
249,Denmark,Container ships,16,,0.64,,22130,,,Not available or not separately reported,2026.0,,214286,,,Not available or not separately reported,19630.0,,2022-S2
250,Denmark,Passenger ships,21,,,Not available or not separately reported,10455,,,Not available or not separately reported,,Not available or not separately reported,183200,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
251,France,All ships,18,,1.18,,21882,,19491.0,,4980.0,,236583,,320780.0,,23964.0,,2022-S2
252,France,Liquid bulk carriers,13,,1.05,,13656,,23416.0,,,Not available or not separately reported,170611,,320780.0,,,Not available or not separately reported,2022-S2
253,France,Liquefied petroleum gas carriers,12,,1.18,,9976,,11135.0,,,Not available or not separately reported,49567,,55316.0,,,Not available or not separately reported,2022-S2
254,France,Liquefied natural gas carriers,9,,1.14,,107081,,83412.0,,,Not available or not separately reported,163922,,130171.0,,,Not available or not separately reported,2022-S2
255,France,Dry bulk carriers,14,,2.97,,25543,,44393.0,,,Not available or not separately reported,95309,,182913.0,,,Not available or not separately reported,2022-S2
256,France,Dry breakbulk carriers,19,,1.48,,4459,,6557.0,,,Not available or not separately reported,44522,,62361.0,,,Not available or not separately reported,2022-S2
257,France,Roll-on/ roll-off ships,18,,,Not available or not separately reported,26459,,11323.0,,,Not available or not separately reported,76420,,45200.0,,,Not available or not separately reported,2022-S2
258,France,Container ships,14,,1.03,,54570,,,Not available or not separately reported,4980.0,,236583,,,Not available or not separately reported,23964.0,,2022-S2
259,France,Passenger ships,20,,,Not available or not separately reported,22356,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
260,Germany,All ships,21,,0.66,,12661,,10114.0,,4743.0,,236583,,319911.0,,24004.0,,2022-S2
261,Germany,Liquid bulk carriers,19,,0.43,,4971,,9181.0,,,Not available or not separately reported,164680,,319911.0,,,Not available or not separately reported,2022-S2
262,Germany,Liquefied petroleum gas carriers,14,,0.7,,6137,,6789.0,,,Not available or not separately reported,37366,,43538.0,,,Not available or not separately reported,2022-S2
263,Germany,Dry bulk carriers,12,,2.7,,31062,,54181.0,,,Not available or not separately reported,107741,,209935.0,,,Not available or not separately reported,2022-S2
264,Germany,Dry breakbulk carriers,28,,0.63,,3536,,5132.0,,,Not available or not separately reported,54732,,72800.0,,,Not available or not separately reported,2022-S2
265,Germany,Roll-on/ roll-off ships,17,,,Not available or not separately reported,30588,,12826.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2022-S2
266,Germany,Container ships,14,,1.17,,51470,,,Not available or not separately reported,4743.0,,236583,,,Not available or not separately reported,24004.0,,2022-S2
267,Germany,Passenger ships,21,,,Not available or not separately reported,11527,,,Not available or not separately reported,,Not available or not separately reported,185206,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
268,Greece,All ships,23,,0.76,,8509,,8185.0,,4353.0,,235579,,320000.0,,23992.0,,2022-S2
269,Greece,Liquid bulk carriers,21,,0.57,,5561,,8795.0,,,Not available or not separately reported,160000,,320000.0,,,Not available or not separately reported,2022-S2
270,Greece,Liquefied petroleum gas carriers,26,,0.96,,5131,,6172.0,,,Not available or not separately reported,44673,,49996.0,,,Not available or not separately reported,2022-S2
271,Greece,Liquefied natural gas carriers,8,,1.08,,103176,,82385.0,,,Not available or not separately reported,121597,,96811.0,,,Not available or not separately reported,2022-S2
272,Greece,Dry bulk carriers,26,,0.43,,8313,,14209.0,,,Not available or not separately reported,43673,,82600.0,,,Not available or not separately reported,2022-S2
273,Greece,Dry breakbulk carriers,33,,1.1,,2926,,4076.0,,,Not available or not separately reported,40350,,61537.0,,,Not available or not separately reported,2022-S2
274,Greece,Roll-on/ roll-off ships,35,,,Not available or not separately reported,15251,,6515.0,,,Not available or not separately reported,76420,,48988.0,,,Not available or not separately reported,2022-S2
275,Greece,Container ships,16,,0.95,,46427,,,Not available or not separately reported,4353.0,,235579,,,Not available or not separately reported,23992.0,,2022-S2
276,Greece,Passenger ships,23,,,Not available or not separately reported,7893,,,Not available or not separately reported,,Not available or not separately reported,167704,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
277,Indonesia,All ships,21,,1.25,,7903,,17169.0,,1170.0,,176546,,308491.0,,16000.0,,2022-S2
278,Indonesia,Liquid bulk carriers,16,,1.36,,8841,,13846.0,,,Not available or not separately reported,159187,,308491.0,,,Not available or not separately reported,2022-S2
279,Indonesia,Liquefied petroleum gas carriers,20,,1.06,,8111,,8768.0,,,Not available or not separately reported,52666,,59479.0,,,Not available or not separately reported,2022-S2
280,Indonesia,Liquefied natural gas carriers,17,,1.44,,98123,,75242.0,,,Not available or not separately reported,128806,,96811.0,,,Not available or not separately reported,2022-S2
281,Indonesia,Dry bulk carriers,18,,2.64,,25853,,45622.0,,,Not available or not separately reported,109716,,208610.0,,,Not available or not separately reported,2022-S2
282,Indonesia,Dry breakbulk carriers,21,,1.09,,5090,,6799.0,,,Not available or not separately reported,54695,,72562.0,,,Not available or not separately reported,2022-S2
283,Indonesia,Roll-on/ roll-off ships,26,,,Not available or not separately reported,11774,,5433.0,,,Not available or not separately reported,76299,,31801.0,,,Not available or not separately reported,2022-S2
284,Indonesia,Container ships,16,,0.97,,13301,,,Not available or not separately reported,1170.0,,176546,,,Not available or not separately reported,16000.0,,2022-S2
285,Indonesia,Passenger ships,22,,,Not available or not separately reported,5284,,,Not available or not separately reported,,Not available or not separately reported,150695,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
286,Italy,All ships,27,,1.31,,10706,,20658.0,,3540.0,,235600,,299999.0,,23756.0,,2022-S2
287,Italy,Liquid bulk carriers,19,,1.24,,17419,,29608.0,,,Not available or not separately reported,157477,,299999.0,,,Not available or not separately reported,2022-S2
288,Italy,Liquefied petroleum gas carriers,16,,1.56,,8548,,9783.0,,,Not available or not separately reported,48008,,54520.0,,,Not available or not separately reported,2022-S2
289,Italy,Liquefied natural gas carriers,21,,2.36,,44920,,32764.0,,,Not available or not separately reported,66174,,48817.0,,,Not available or not separately reported,2022-S2
290,Italy,Dry bulk carriers,14,,4.45,,26874,,46718.0,,,Not available or not separately reported,107806,,208611.0,,,Not available or not separately reported,2022-S2
291,Italy,Dry breakbulk carriers,20,,1.98,,6730,,9415.0,,,Not available or not separately reported,54730,,73296.0,,,Not available or not separately reported,2022-S2
292,Italy,Roll-on/ roll-off ships,13,,,Not available or not separately reported,35628,,13681.0,,,Not available or not separately reported,76420,,46634.0,,,Not available or not separately reported,2022-S2
293,Italy,Container ships,17,,0.94,,38998,,,Not available or not separately reported,3540.0,,232618,,,Not available or not separately reported,23756.0,,2022-S2
294,Italy,Passenger ships,29,,,Not available or not separately reported,8248,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
295,Japan,All ships,14,,0.42,,10074,,15530.0,,1549.0,,194308,,327017.0,,19224.0,,2022-S2
296,Japan,Liquid bulk carriers,12,,0.31,,9002,,15400.0,,,Not available or not separately reported,166094,,322861.0,,,Not available or not separately reported,2022-S2
297,Japan,Liquefied petroleum gas carriers,13,,0.34,,6248,,6831.0,,,Not available or not separately reported,52868,,58899.0,,,Not available or not separately reported,2022-S2
298,Japan,Liquefied natural gas carriers,13,,1.01,,66944,,48916.0,,,Not available or not separately reported,149367,,121935.0,,,Not available or not separately reported,2022-S2
299,Japan,Dry bulk carriers,14,,0.77,,16908,,29214.0,,,Not available or not separately reported,161294,,327017.0,,,Not available or not separately reported,2022-S2
300,Japan,Dry breakbulk carriers,14,,1.13,,6848,,9104.0,,,Not available or not separately reported,66870,,80344.0,,,Not available or not separately reported,2022-S2
301,Japan,Roll-on/ roll-off ships,12,,,Not available or not separately reported,16876,,7383.0,,,Not available or not separately reported,76420,,46634.0,,,Not available or not separately reported,2022-S2
302,Japan,Container ships,13,,0.38,,16125,,,Not available or not separately reported,1549.0,,194308,,,Not available or not separately reported,19224.0,,2022-S2
303,Japan,Passenger ships,16,,,Not available or not separately reported,4651,,,Not available or not separately reported,,Not available or not separately reported,50444,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
304,"Korea, Republic of",All ships,15,,0.85,,19185,,22007.0,,2963.0,,236583,,326932.0,,23964.0,,2022-S2
305,"Korea, Republic of",Liquid bulk carriers,13,,0.73,,14644,,25415.0,,,Not available or not separately reported,170618,,323514.0,,,Not available or not separately reported,2022-S2
306,"Korea, Republic of",Liquefied petroleum gas carriers,13,,0.8,,7783,,8507.0,,,Not available or not separately reported,60776,,64012.0,,,Not available or not separately reported,2022-S2
307,"Korea, Republic of",Liquefied natural gas carriers,12,,1.03,,109667,,86394.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2022-S2
308,"Korea, Republic of",Dry bulk carriers,14,,2.27,,29304,,52589.0,,,Not available or not separately reported,161294,,326932.0,,,Not available or not separately reported,2022-S2
309,"Korea, Republic of",Dry breakbulk carriers,19,,1.14,,5541,,7979.0,,,Not available or not separately reported,91784,,116173.0,,,Not available or not separately reported,2022-S2
310,"Korea, Republic of",Roll-on/ roll-off ships,20,,,Not available or not separately reported,27335,,11201.0,,,Not available or not separately reported,76420,,46634.0,,,Not available or not separately reported,2022-S2
311,"Korea, Republic of",Container ships,13,,0.69,,31817,,,Not available or not separately reported,2963.0,,236583,,,Not available or not separately reported,23964.0,,2022-S2
312,"Korea, Republic of",Passenger ships,12,,,Not available or not separately reported,15379,,,Not available or not separately reported,,Not available or not separately reported,48035,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
313,Netherlands (Kingdom of the),All ships,18,,0.55,,12391,,15792.0,,2852.0,,236583,,321300.0,,24004.0,,2022-S2
314,Netherlands (Kingdom of the),Liquid bulk carriers,17,,0.52,,9258,,18074.0,,,Not available or not separately reported,170611,,321300.0,,,Not available or not separately reported,2022-S2
315,Netherlands (Kingdom of the),Liquefied petroleum gas carriers,14,,1.01,,7195,,7966.0,,,Not available or not separately reported,50400,,58757.0,,,Not available or not separately reported,2022-S2
316,Netherlands (Kingdom of the),Liquefied natural gas carriers,8,,1.07,,79336,,62981.0,,,Not available or not separately reported,141671,,104561.0,,,Not available or not separately reported,2022-S2
317,Netherlands (Kingdom of the),Dry bulk carriers,11,,1.35,,38427,,69047.0,,,Not available or not separately reported,150918,,297541.0,,,Not available or not separately reported,2022-S2
318,Netherlands (Kingdom of the),Dry breakbulk carriers,24,,0.38,,3727,,5409.0,,,Not available or not separately reported,84503,,98370.0,,,Not available or not separately reported,2022-S2
319,Netherlands (Kingdom of the),Roll-on/ roll-off ships,22,,,Not available or not separately reported,20144,,7986.0,,,Not available or not separately reported,76420,,34960.0,,,Not available or not separately reported,2022-S2
320,Netherlands (Kingdom of the),Container ships,16,,0.84,,30785,,,Not available or not separately reported,2852.0,,236583,,,Not available or not separately reported,24004.0,,2022-S2
321,Netherlands (Kingdom of the),Passenger ships,16,,,Not available or not separately reported,13551,,,Not available or not separately reported,,Not available or not separately reported,185206,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
322,Norway,All ships,13,,0.44,,3999,,7322.0,,779.0,,184089,,320926.0,,1350.0,,2022-S2
323,Norway,Liquid bulk carriers,16,,0.61,,10405,,16677.0,,,Not available or not separately reported,166308,,320926.0,,,Not available or not separately reported,2022-S2
324,Norway,Liquefied petroleum gas carriers,11,,0.86,,9641,,10627.0,,,Not available or not separately reported,47500,,54650.0,,,Not available or not separately reported,2022-S2
325,Norway,Liquefied natural gas carriers,15,,0.32,,25094,,18475.0,,,Not available or not separately reported,121597,,96811.0,,,Not available or not separately reported,2022-S2
326,Norway,Dry bulk carriers,16,,0.85,,18331,,30456.0,,,Not available or not separately reported,108151,,209177.0,,,Not available or not separately reported,2022-S2
327,Norway,Dry breakbulk carriers,24,,0.35,,2826,,3394.0,,,Not available or not separately reported,37150,,50640.0,,,Not available or not separately reported,2022-S2
328,Norway,Roll-on/ roll-off ships,19,,,Not available or not separately reported,10721,,6622.0,,,Not available or not separately reported,70853,,28092.0,,,Not available or not separately reported,2022-S2
329,Norway,Container ships,18,,0.35,,8392,,,Not available or not separately reported,779.0,,16137,,,Not available or not separately reported,1350.0,,2022-S2
330,Norway,Passenger ships,13,,,Not available or not separately reported,3877,,,Not available or not separately reported,,Not available or not separately reported,184089,,,Not available or not separately reported,,Not available or not separately reported,2022-S2
331,Philippines,All ships,18,,0.99,,7263,,11519.0,,1636.0,,151094,,297442.0,,6570.0,,2022-S2
332,Philippines,Liquid bulk carriers,13,,0.86,,6499,,10335.0,,,Not available or not separately reported,65696,,115024.0,,,Not available or not separately reported,2022-S2
